tmsp,country,amount,success,PSP,3D_secured,card,num_tries,order_id
2019-01-01 00:01:11,Germany,89.0,False,UK_Card,False,Visa,1,1
2019-01-01 00:01:17,Germany,89.0,True,UK_Card,False,Visa,2,1
2019-01-01 00:02:49,Germany,238.0,False,UK_Card,True,Diners,1,2
2019-01-01 00:03:13,Germany,238.0,True,UK_Card,True,Diners,1,3
2019-01-01 00:04:33,Austria,124.0,False,Simplecard,False,Diners,1,4
2019-01-01 00:06:41,Switzerland,282.0,False,UK_Card,False,Master,1,5
2019-01-01 00:07:19,Switzerland,282.0,False,Simplecard,False,Master,1,6
2019-01-01 00:08:46,Germany,117.0,True,UK_Card,False,Master,1,7
2019-01-01 00:09:56,Switzerland,174.0,False,Simplecard,False,Visa,1,8
2019-01-01 00:10:49,Switzerland,174.0,False,Simplecard,False,Visa,1,9
2019-01-01 00:12:15,Austria,232.0,False,Simplecard,True,Diners,1,10
2019-01-01 00:12:52,Austria,232.0,False,UK_Card,True,Diners,2,10
2019-01-01 00:13:34,Austria,232.0,False,UK_Card,True,Diners,1,11
2019-01-01 00:13:44,Austria,232.0,False,UK_Card,True,Diners,2,11
2019-01-01 00:14:35,Austria,232.0,True,UK_Card,True,Diners,1,12
2019-01-01 00:15:45,Germany,268.0,False,Simplecard,False,Master,1,13
2019-01-01 00:18:18,Switzerland,89.0,False,Simplecard,False,Master,1,14
2019-01-01 00:18:21,Switzerland,89.0,False,UK_Card,False,Master,2,14
2019-01-01 00:18:37,Switzerland,89.0,False,Moneycard,False,Master,3,14
2019-01-01 00:20:53,Germany,205.0,False,UK_Card,False,Master,1,15
2019-01-01 00:20:56,Germany,205.0,False,UK_Card,False,Master,2,15
2019-01-01 00:21:11,Germany,205.0,True,Moneycard,False,Master,1,16
2019-01-01 00:23:48,Switzerland,111.0,False,Simplecard,False,Master,1,17
2019-01-01 00:24:41,Switzerland,111.0,False,UK_Card,False,Master,1,18
2019-01-01 00:24:55,Switzerland,111.0,False,UK_Card,False,Master,2,18
2019-01-01 00:25:47,Switzerland,111.0,False,UK_Card,False,Master,1,19
2019-01-01 00:26:07,Switzerland,111.0,False,UK_Card,False,Master,1,20
2019-01-01 00:26:50,Switzerland,111.0,False,UK_Card,False,Master,2,20
