tmsp,amount,success,3D_secured,Austria,Germany,Switzerland,Goldcard,Moneycard,Simplecard,UK_Card,Diners,Master,Visa,num_tries,order_id,hour,is_weekend
2019-01-10 16:51:21,0.4022435897435897,False,False,False,True,False,False,False,False,True,False,True,False,2,6967,0.4022435897435897,False
2019-01-15 22:32:40,0.08173076923076922,True,False,False,False,True,False,False,True,False,False,False,True,1,10205,0.08173076923076922,False
2019-01-12 02:47:39,0.3237179487179487,False,False,False,False,True,False,False,True,False,False,False,True,2,7914,0.3237179487179487,True
2019-01-06 06:55:16,0.29006410256410253,True,False,True,False,False,False,False,False,True,True,False,False,2,3978,0.29006410256410253,True
2019-01-13 10:48:29,0.23878205128205127,False,False,False,True,False,False,False,True,False,False,True,False,1,8635,0.23878205128205127,True
2019-01-30 22:19:08,0.39262820512820507,True,False,True,False,False,False,False,True,False,True,False,False,1,19071,0.39262820512820507,False
2019-01-29 14:24:42,0.423076923076923,True,False,False,False,True,False,False,False,True,False,True,False,2,18228,0.423076923076923,False
2019-01-04 11:33:34,0.639423076923077,True,True,True,False,False,False,False,False,True,False,True,False,1,2785,0.639423076923077,False
2019-01-03 10:11:58,0.4439102564102564,False,True,False,False,True,False,False,False,True,True,False,False,2,1979,0.4439102564102564,False
2019-01-02 23:21:58,0.3381410256410256,False,False,False,False,True,False,False,True,False,False,True,False,1,1614,0.3381410256410256,False
2019-01-07 03:52:47,0.37499999999999994,False,True,True,False,False,False,False,False,True,True,False,False,2,4501,0.37499999999999994,False
2019-02-03 05:44:21,0.05608974358974359,True,False,False,True,False,False,False,False,True,False,False,True,1,21395,0.05608974358974359,True
2019-02-08 10:57:34,0.23076923076923075,True,False,False,True,False,False,False,False,True,True,False,False,1,25230,0.23076923076923075,False
2019-01-09 19:45:24,0.24679487179487178,False,False,False,True,False,False,False,True,False,False,True,False,1,6389,0.24679487179487178,False
2019-01-09 13:52:27,0.2756410256410256,False,True,False,True,False,False,False,True,False,False,False,True,2,6231,0.2756410256410256,False
2019-01-14 08:47:21,0.3189102564102564,True,False,True,False,False,False,True,False,False,False,True,False,1,9131,0.3189102564102564,False
2019-01-07 20:21:04,0.4647435897435897,False,False,False,True,False,False,True,False,False,True,False,False,1,5010,0.4647435897435897,False
2019-01-09 04:44:12,0.4823717948717948,False,False,False,False,True,False,False,False,True,False,True,False,1,5978,0.4823717948717948,False
2019-02-23 18:32:00,0.5416666666666666,True,False,False,True,False,True,False,False,False,False,False,True,1,34681,0.5416666666666666,True
2019-01-08 19:53:42,0.5368589743589743,True,False,False,False,True,False,True,False,False,False,True,False,1,5719,0.5368589743589743,False
2019-01-07 16:15:08,0.5544871794871795,False,False,False,False,True,False,False,False,True,False,True,False,1,4867,0.5544871794871795,False
2019-01-07 19:59:21,0.31089743589743585,False,False,False,False,True,False,False,False,True,False,True,False,1,4998,0.31089743589743585,False
2019-01-29 17:56:57,0.29166666666666663,True,True,True,False,False,False,True,False,False,False,True,False,1,18327,0.29166666666666663,False
2019-01-12 15:40:24,0.24839743589743588,False,False,False,True,False,False,True,False,False,False,False,True,1,8226,0.24839743589743588,True
2019-01-07 12:31:14,0.14743589743589744,False,True,True,False,False,False,False,False,True,False,False,True,1,4759,0.14743589743589744,False
2019-01-11 00:13:35,0.22756410256410256,False,False,False,False,True,False,False,True,False,False,False,True,1,7205,0.22756410256410256,False
2019-02-09 20:09:37,0.36538461538461536,True,True,False,True,False,False,False,False,True,False,True,False,1,26099,0.36538461538461536,True
2019-01-14 07:29:57,0.1955128205128205,False,True,True,False,False,False,False,True,False,False,True,False,1,9090,0.1955128205128205,False
2019-02-01 14:33:25,0.20032051282051283,True,False,False,True,False,False,False,False,True,False,True,False,2,20194,0.20032051282051283,False
